shrid2,connected_villages,num_connected_villages,connected_populations,Town-Connected
11-24-489-03921-522598,"['11-24-489-03921-522561', '11-24-489-03921-522641', '11-24-489-03921-522681', '11-24-489-03921-522640', '11-24-493-03945-524860', '11-24-489-03921-522600', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-493-03945-524850', '11-24-490-03926-523162', '11-24-493-03945-524840']",13,,
11-24-489-03921-522599,"['11-24-489-03921-522561', '11-24-489-03921-522641', '11-24-489-03921-522681', '11-24-489-03921-522598', '11-24-489-03921-522640', '11-24-493-03945-524860', '11-24-489-03921-522600', '11-24-493-03945-524849', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-493-03945-524839', '11-24-493-03945-524850', '11-24-490-03926-523162', '11-24-493-03945-524840']",14,,
11-24-489-03921-522600,"['11-24-489-03921-522561', '11-24-489-03921-522641', '11-24-489-03921-522681', '11-24-489-03921-522598', '11-24-489-03921-522640', '11-24-493-03945-524860', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-493-03945-524850', '11-24-490-03926-523162', '11-24-493-03945-524840']",13,,
11-24-489-03921-522604,"['11-24-489-03921-522605', '11-24-489-03921-522589', '11-24-489-03921-522590', '11-24-489-03921-522576']",4,,
11-24-489-03921-522605,"['11-24-489-03921-522604', '11-24-489-03921-522589', '11-24-489-03921-522590', '11-24-489-03921-522576']",4,,
11-24-489-03921-522608,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522609']",12,,
11-24-489-03921-522609,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522611']",12,,
11-24-489-03921-522611,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522629', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522613', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522609']",14,,
11-24-489-03921-522612,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522609']",12,,
11-24-489-03921-522613,"['11-24-489-03921-522629', '11-24-489-03921-522611']",2,,
11-24-489-03921-522615,"['11-24-489-03921-522617', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522609']",12,,
11-24-489-03921-522616,"['11-24-489-03921-522617', '11-24-489-03921-522579', '11-24-489-03921-522581']",3,,
11-24-489-03921-522617,"['11-24-489-03921-522615', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522579', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522582', '11-24-489-03921-522581', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522616', '11-24-489-03921-522612', '11-24-489-03921-522609']",14,,
11-24-489-03921-522618,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522609']",12,,
11-24-489-03921-522619,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522620', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522609']",12,,
11-24-489-03921-522620,"['11-24-489-03921-522615', '11-24-489-03921-522617', '11-24-489-03921-522611', '11-24-489-03921-522586', '11-24-489-03921-522619', '11-24-489-03921-522618', '11-24-489-03921-522581', '11-24-489-03921-522582', '11-24-489-03921-522608', '11-24-489-03921-522577', '11-24-489-03921-522612', '11-24-489-03921-522609']",12,,
11-24-489-03921-522629,"['11-24-489-03921-522613', '11-24-489-03921-522611']",2,,
11-24-489-03921-522640,"['11-24-489-03921-522561', '11-24-489-03921-522641', '11-24-489-03921-522681', '11-24-489-03921-522598', '11-24-493-03945-524860', '11-24-489-03921-522600', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-493-03945-524850', '11-24-490-03926-523162', '11-24-493-03945-524840']",13,,
11-24-489-03921-522641,"['11-24-489-03921-522561', '11-24-489-03921-522681', '11-24-489-03921-522598', '11-24-489-03921-522640', '11-24-493-03945-524860', '11-24-489-03921-522600', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-493-03945-524850', '11-24-490-03926-523162', '11-24-493-03945-524840']",13,,
11-24-489-03921-522642,['11-24-489-03921-522645'],1,,
11-24-489-03921-522645,['11-24-489-03921-522642'],1,,
11-24-489-03921-522663,['11-24-489-03921-522664'],1,,
11-24-489-03921-522664,['11-24-489-03921-522663'],1,,
11-24-489-03921-522681,"['11-24-489-03921-522561', '11-24-489-03921-522641', '11-24-489-03921-522598', '11-24-489-03921-522640', '11-24-493-03945-524860', '11-24-489-03921-522600', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-493-03945-524850', '11-24-490-03926-523162', '11-24-493-03945-524840']",13,,
11-24-489-03921-522682,"['11-24-489-03921-522685', '11-24-489-03921-522683', '11-24-489-03921-522726', '11-24-489-03921-522842', '11-24-489-03921-522684', '11-24-489-03921-522725']",6,,
11-24-489-03921-522683,"['11-24-489-03921-522682', '11-24-489-03921-522685', '11-24-489-03921-522726', '11-24-489-03921-522842', '11-24-489-03921-522684', '11-24-489-03921-522725']",6,,
11-24-489-03921-522684,"['11-24-489-03921-522682', '11-24-489-03921-522685', '11-24-489-03921-522683', '11-24-489-03921-522726', '11-24-489-03921-522842', '11-24-489-03921-522725']",6,,
11-24-489-03921-522685,"['11-24-489-03921-522682', '11-24-489-03921-522683', '11-24-489-03921-522726', '11-24-489-03921-522842', '11-24-489-03921-522684', '11-24-489-03921-522725']",6,,
11-24-489-03921-522686,"['11-24-489-03921-522689', '11-24-489-03921-522724', '11-24-489-03921-522687']",3,,
11-24-489-03921-522687,"['11-24-489-03921-522686', '11-24-489-03921-522724', '11-24-489-03921-522689']",3,,
11-24-489-03921-522689,"['11-24-489-03921-522686', '11-24-489-03921-522724', '11-24-489-03921-522687']",3,,
11-24-489-03921-522724,"['11-24-489-03921-522689', '11-24-489-03921-522686', '11-24-489-03921-522687']",3,,
11-24-489-03921-522725,"['11-24-489-03921-522682', '11-24-489-03921-522685', '11-24-489-03921-522683', '11-24-489-03921-522726', '11-24-489-03921-522842', '11-24-489-03921-522684']",6,,
11-24-489-03921-522726,"['11-24-489-03921-522682', '11-24-489-03921-522685', '11-24-489-03921-522683', '11-24-489-03921-522842', '11-24-489-03921-522684', '11-24-489-03921-522725']",6,,
11-24-489-03921-522775,['11-24-489-03921-522776'],1,,
11-24-489-03921-522776,['11-24-489-03921-522775'],1,,
11-24-489-03921-522779,[],0,,
11-24-489-03921-522787,"['11-24-489-03921-522813', '11-24-489-03921-522814', '11-24-489-03921-522788']",3,,
11-24-489-03921-522788,"['11-24-489-03921-522813', '11-24-489-03921-522814', '11-24-489-03921-522787']",3,,
11-24-489-03921-522803,"['11-24-489-03921-522805', '11-24-489-03921-522825', '11-24-489-03921-522804']",3,,
11-24-489-03921-522804,"['11-24-489-03921-522805', '11-24-489-03921-522825', '11-24-489-03921-522803']",3,,
11-24-489-03921-522805,"['11-24-489-03921-522804', '11-24-489-03921-522825', '11-24-489-03921-522803']",3,,
11-24-489-03921-522813,"['11-24-489-03921-522814', '11-24-489-03921-522787', '11-24-489-03921-522788']",3,,
11-24-489-03921-522814,"['11-24-489-03921-522813', '11-24-489-03921-522787', '11-24-489-03921-522788']",3,,
11-24-489-03921-522825,"['11-24-489-03921-522804', '11-24-489-03921-522805', '11-24-489-03921-522803']",3,,
11-24-489-03921-522842,"['11-24-489-03921-522682', '11-24-489-03921-522598', '11-24-493-03945-524860', '11-24-489-03921-522597', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-489-03921-522561', '11-24-489-03921-522641', '11-24-489-03921-522640', '11-24-489-03921-522683', '11-24-489-03921-522726', '11-24-493-03945-524850', '11-24-489-03921-522684', '11-24-489-03921-522725', '11-24-489-03921-522681', '11-24-489-03921-522685', '11-24-489-03921-522600', '11-24-490-03926-523162', '11-24-493-03945-524840']",19,,
11-24-490-03922-522858,['11-24-490-03922-522859'],1,,
11-24-490-03922-522859,['11-24-490-03922-522858'],1,,
11-24-490-03922-522865,"['11-24-490-03922-522881', '11-24-490-03922-522874', '11-24-490-03922-522880', '11-24-490-03922-522875']",4,,
11-24-490-03922-522870,[],0,,
11-24-490-03922-522874,"['11-24-490-03922-522865', '11-24-490-03922-522880', '11-24-490-03922-522881', '11-24-490-03922-522875']",4,,
11-24-490-03922-522875,"['11-24-490-03922-522865', '11-24-490-03922-522874', '11-24-490-03922-522881', '11-24-490-03922-522880']",4,,
11-24-490-03922-522880,"['11-24-490-03922-522865', '11-24-490-03922-522874', '11-24-490-03922-522881', '11-24-490-03922-522875']",4,,
11-24-490-03922-522881,"['11-24-490-03922-522865', '11-24-490-03922-522874', '11-24-490-03922-522880', '11-24-490-03922-522875']",4,,
11-24-490-03922-522891,"['11-24-490-03922-522905', '11-24-490-03922-522906', '11-24-490-03922-522907']",3,,
11-24-490-03922-522895,['11-24-490-03922-522896'],1,,
11-24-490-03922-522896,['11-24-490-03922-522895'],1,,
11-24-490-03922-522905,"['11-24-490-03922-522891', '11-24-490-03922-522906', '11-24-490-03922-522907']",3,,
11-24-490-03922-522906,"['11-24-490-03922-522891', '11-24-490-03922-522905', '11-24-490-03922-522907']",3,"['3170.0', '209.0', '719.0']",1.0
11-24-490-03922-522907,"['11-24-490-03922-522891', '11-24-490-03922-522905', '11-24-490-03922-522906']",3,,
11-24-490-03922-522908,['11-24-490-03923-522920'],1,,
11-24-490-03923-522920,['11-24-490-03922-522908'],1,,
11-24-490-03923-522925,['11-24-490-03923-522927'],1,,
11-24-490-03923-522927,['11-24-490-03923-522925'],1,,
11-24-490-03923-522943,[],0,,
11-24-490-03923-522944,['11-24-490-03923-522957'],1,,
11-24-490-03923-522957,['11-24-490-03923-522944'],1,,
11-24-490-03923-522980,[],0,,
11-24-490-03923-522984,"['11-24-490-03924-523013', '11-24-490-03924-523014']",2,,
11-24-490-03924-522991,['11-24-490-03924-522992'],1,,
11-24-490-03924-522992,['11-24-490-03924-522991'],1,,
11-24-490-03924-522993,['11-24-490-03924-522995'],1,,
11-24-490-03924-522994,[],0,[nan],0.0
11-24-490-03924-522995,['11-24-490-03924-522993'],1,,
11-24-490-03924-523003,['11-24-490-03924-523008'],1,['2626.0'],1.0
11-24-490-03924-523004,[],0,[nan],0.0
11-24-490-03924-523005,"['11-24-490-03924-523006', '11-24-490-03924-523019']",2,,
11-24-490-03924-523006,"['11-24-490-03924-523005', '11-24-490-03924-523019']",2,,
11-24-490-03924-523008,['11-24-490-03924-523003'],1,,
11-24-490-03924-523013,"['11-24-490-03923-522984', '11-24-490-03924-523014']",2,,
11-24-490-03924-523014,"['11-24-490-03924-523013', '11-24-490-03923-522984']",2,,
11-24-490-03924-523016,[],0,,
11-24-490-03924-523019,"['11-24-490-03924-523005', '11-24-490-03924-523006']",2,,
11-24-490-03924-523023,"['11-24-490-03924-523024', '11-24-490-03924-523032', '11-24-490-03924-523033', '11-24-490-03924-802616']",4,,
11-24-490-03924-523024,"['11-24-490-03924-523033', '11-24-490-03925-523092', '11-24-490-03924-523023', '11-24-490-03924-523039', '11-24-490-03924-802616', '11-24-490-03924-523043', '11-24-490-03924-523032', '11-24-490-03924-523040', '11-24-490-03924-523031']",9,,
11-24-490-03924-523025,['11-24-490-03924-523030'],1,,
11-24-490-03924-523030,['11-24-490-03924-523025'],1,['2602.0'],1.0
11-24-490-03924-523031,"['11-24-490-03925-523092', '11-24-490-03924-523039', '11-24-490-03924-523043', '11-24-490-03924-523024', '11-24-490-03924-523040']",5,,
11-24-490-03924-523032,"['11-24-490-03924-802616', '11-24-490-03924-523023', '11-24-490-03925-523076', '11-24-490-03924-523024', '11-24-490-03924-523033']",5,,
11-24-490-03924-523033,"['11-24-490-03924-802616', '11-24-490-03924-523023', '11-24-490-03925-523076', '11-24-490-03924-523024', '11-24-490-03924-523032']",5,,
11-24-490-03924-523035,[],0,,
11-24-490-03924-523039,"['11-24-491-03927-523233', '11-24-490-03925-523092', '11-24-490-03924-523043', '11-24-490-03924-523024', '11-24-490-03924-523040', '11-24-490-03924-523031']",6,,
11-24-490-03924-523040,"['11-24-491-03927-523233', '11-24-490-03925-523092', '11-24-490-03924-523039', '11-24-490-03924-523043', '11-24-490-03924-523024', '11-24-490-03924-523031']",6,,
11-24-490-03924-523043,"['11-24-490-03925-523092', '11-24-490-03924-523039', '11-24-490-03924-523024', '11-24-490-03924-523040', '11-24-490-03924-523031']",5,,
11-24-490-03924-802616,"['11-24-490-03924-523023', '11-24-490-03924-523032', '11-24-490-03924-523033', '11-24-490-03924-523024']",4,,
11-24-490-03925-523054,['11-24-490-03925-523065'],1,,
11-24-490-03925-523056,[],0,,
11-24-490-03925-523059,['11-24-492-03941-524411'],1,,
11-24-490-03925-523062,"['11-24-490-03925-523066', '11-24-490-03925-523063']",2,,
11-24-490-03925-523063,"['11-24-490-03925-523066', '11-24-490-03925-523062']",2,,
11-24-490-03925-523065,['11-24-490-03925-523054'],1,,
11-24-490-03925-523066,"['11-24-490-03925-523063', '11-24-490-03925-523062']",2,,
11-24-490-03925-523071,[],0,,
11-24-490-03925-523076,"['11-24-490-03924-523032', '11-24-490-03924-523033']",2,,
11-24-490-03925-523077,[],0,[nan],0.0
11-24-490-03925-523082,[],0,,
11-24-490-03925-523083,[],0,,
11-24-490-03925-523088,['11-24-490-03925-523089'],1,,
11-24-490-03925-523089,"['11-24-490-03925-523090', '11-24-490-03925-523088']",2,,
11-24-490-03925-523090,"['11-24-490-03925-523105', '11-24-490-03925-523089', '11-24-490-03925-523096']",3,,
11-24-490-03925-523092,"['11-24-490-03924-523039', '11-24-490-03924-523043', '11-24-490-03924-523024', '11-24-490-03924-523040', '11-24-490-03924-523031']",5,,
11-24-490-03925-523096,"['11-24-490-03925-523090', '11-24-490-03925-523105']",2,"['4627.0', '6090.0']",2.0
11-24-490-03925-523097,[],0,,
11-24-490-03925-523098,['11-24-490-03925-523101'],1,['5658.0'],1.0
11-24-490-03925-523101,"['11-24-490-03925-523098', '11-24-490-03925-523113']",2,"['7257.0', '2451.0']",1.0
11-24-490-03925-523102,"['11-24-490-03925-523111', '11-24-490-03925-523110']",2,"['1276.0', '837.0']",0.0
11-24-490-03925-523103,['11-24-490-03925-523110'],1,,
11-24-490-03925-523105,"['11-24-490-03925-523090', '11-24-490-03925-523096']",2,,
11-24-490-03925-523108,['11-24-490-03925-523120'],1,,
11-24-490-03925-523109,"['11-24-490-03925-523119', '11-24-490-03925-523120']",2,"['2378.0', '14851.0']",1.0
11-24-490-03925-523110,"['11-24-490-03925-523103', '11-24-490-03925-523102', '11-24-490-03925-523111']",3,,
11-24-490-03925-523111,"['11-24-490-03925-523115', '11-24-490-03925-523102', '11-24-490-03925-523110']",3,"['3106.0', '1713.0', '837.0']",1.0
11-24-490-03925-523113,['11-24-490-03925-523101'],1,['5658.0'],1.0
11-24-490-03925-523115,['11-24-490-03925-523111'],1,,
11-24-490-03925-523117,"['11-24-490-03925-523125', '11-24-490-03925-523127', '11-24-490-03925-523118']",3,"['3677.0', '1364.0', '1463.0']",1.0
11-24-490-03925-523118,"['11-24-490-03925-523125', '11-24-490-03925-523127', '11-24-490-03925-523117']",3,"['3677.0', '1364.0', '3482.0']",2.0
11-24-490-03925-523119,"['11-24-490-03925-523109', '11-24-490-03925-523120']",2,,
11-24-490-03925-523120,"['11-24-490-03925-523108', '11-24-490-03925-523119', '11-24-490-03925-523109']",3,,
11-24-490-03925-523121,['11-24-490-03925-523122'],1,,
11-24-490-03925-523122,['11-24-490-03925-523121'],1,,
11-24-490-03925-523123,['11-24-490-03925-523125'],1,,
11-24-490-03925-523125,"['11-24-490-03925-523127', '11-24-490-03925-523123', '11-24-491-03928-523324', '11-24-490-03925-523117', '11-24-490-03925-523118', '11-24-490-03925-523126']",6,"['1364.0', '1603.0', '1538.0', '3482.0', '1463.0', '1011.0']",1.0
11-24-490-03925-523126,"['11-24-490-03925-523125', '11-24-490-03925-523127', '11-24-491-03928-523324']",3,"['3677.0', '1364.0', '1538.0']",1.0
11-24-490-03925-523127,"['11-24-490-03925-523125', '11-24-491-03928-523324', '11-24-490-03925-523117', '11-24-490-03925-523118', '11-24-490-03925-523126']",5,,
11-24-490-03925-523130,['11-24-491-03928-523327'],1,,
11-24-490-03926-523134,"['11-24-490-03926-523135', '11-24-490-03926-523141', '11-24-490-03926-523138', '11-24-490-03926-523170', '11-24-490-03926-523139', '11-24-490-03926-523169', '11-24-490-03926-523157']",7,,
11-24-490-03926-523135,"['11-24-490-03926-523134', '11-24-490-03926-523141', '11-24-490-03926-523138', '11-24-490-03926-523170', '11-24-490-03926-523139', '11-24-490-03926-523169', '11-24-490-03926-523157']",7,"['1881.0', '3033.0', '5494.0', '1652.0', '1329.0', '1397.0', '2015.0']",2.0
11-24-490-03926-523138,"['11-24-490-03926-523135', '11-24-490-03926-523134', '11-24-490-03926-523141', '11-24-490-03926-523170', '11-24-490-03926-523139', '11-24-490-03926-523169', '11-24-490-03926-523157']",7,,
11-24-490-03926-523139,"['11-24-490-03926-523135', '11-24-490-03926-523134', '11-24-490-03926-523141', '11-24-490-03926-523138', '11-24-490-03926-523170', '11-24-490-03926-523169', '11-24-490-03926-523157']",7,"['6104.0', '1881.0', '3033.0', '5494.0', '1652.0', '1397.0', '2015.0']",3.0
11-24-490-03926-523141,"['11-24-490-03926-523135', '11-24-490-03926-523134', '11-24-490-03926-523138', '11-24-490-03926-523170', '11-24-490-03926-523139', '11-24-490-03926-523169', '11-24-490-03926-523157']",7,,
11-24-490-03926-523144,"['11-24-490-03926-523145', '11-24-490-03926-523152']",2,,
11-24-490-03926-523145,"['11-24-490-03926-523152', '11-24-490-03926-523146', '11-24-490-03926-523144', '11-24-492-03941-524414']",4,,
11-24-490-03926-523146,"['11-24-492-03941-524414', '11-24-490-03926-523149', '11-24-490-03926-523145']",3,,
11-24-490-03926-523148,"['11-24-490-03926-523150', '11-24-490-03926-523176']",2,"['1354.0', '1881.0']",0.0
11-24-490-03926-523149,['11-24-490-03926-523146'],1,,
11-24-490-03926-523150,"['11-24-490-03926-523148', '11-24-490-03926-523176', '11-24-490-03926-523151']",3,"['3241.0', '1881.0', '1055.0']",1.0
11-24-490-03926-523151,"['11-24-490-03926-523150', '11-24-490-03926-523175', '11-24-490-03926-523152']",3,,
11-24-490-03926-523152,"['11-24-490-03926-523145', '11-24-490-03926-523144', '11-24-490-03926-523175', '11-24-490-03926-523151']",4,,
11-24-490-03926-523154,['11-24-490-03926-523155'],1,['3801.0'],1.0
11-24-490-03926-523155,['11-24-490-03926-523154'],1,['2003.0'],0.0
11-24-490-03926-523156,"['11-24-490-03926-523157', '11-24-490-03926-523171']",2,,
11-24-490-03926-523157,"['11-24-490-03926-523156', '11-24-490-03926-523135', '11-24-490-03926-523134', '11-24-490-03926-523141', '11-24-490-03926-523138', '11-24-490-03926-523170', '11-24-490-03926-523139', '11-24-490-03926-523169', '11-24-490-03926-523171']",9,"['1226.0', '6104.0', '1881.0', '3033.0', '5494.0', '1652.0', '1329.0', '1397.0', '3166.0']",4.0
11-24-490-03926-523159,"['11-24-490-03926-523161', '11-24-490-03926-523160', '11-24-490-03926-523168', '11-24-490-03926-523170', '11-24-490-03926-523162']",5,"['562.0', '1589.0', '1606.0', '1652.0', '845.0']",0.0
11-24-490-03926-523160,"['11-24-490-03926-523161', '11-24-490-03926-523168', '11-24-490-03926-523166', '11-24-490-03926-523165', '11-24-490-03926-523170', '11-24-490-03926-523159', '11-24-490-03926-523162']",7,"['562.0', '1606.0', '2170.0', '1483.0', '1652.0', '2911.0', '845.0']",1.0
11-24-490-03926-523161,"['11-24-490-03926-523160', '11-24-490-03926-523168', '11-24-490-03926-523170', '11-24-490-03926-523159', '11-24-490-03926-523162']",5,,
11-24-490-03926-523162,"['11-24-489-03921-522561', '11-24-490-03926-523161', '11-24-490-03926-523160', '11-24-489-03921-522641', '11-24-489-03921-522681', '11-24-489-03921-522598', '11-24-489-03921-522640', '11-24-493-03945-524860', '11-24-489-03921-522600', '11-24-489-03921-522597', '11-24-489-03921-522842', '11-24-490-03926-523168', '11-24-490-03926-523170', '11-24-489-03921-522599', '11-24-493-03945-524839', '11-24-490-03926-523159', '11-24-493-03945-524850', '11-24-493-03945-524840']",18,"['1310.0', '562.0', '1589.0', '989.0', '937.0', '1258.0', '1530.0', '1386.0', '1031.0', '424.0', nan, '1606.0', '1652.0', '707.0', '672.0', '2911.0', '1775.0', '690.0']",1.0
11-24-490-03926-523164,"['11-24-490-03926-523186', '11-24-490-03926-523166', '11-24-490-03926-523189', '11-24-490-03926-523187']",4,,
11-24-490-03926-523165,"['11-24-490-03926-523166', '11-24-490-03926-523160']",2,"['2170.0', '1589.0']",0.0
11-24-490-03926-523166,"['11-24-490-03926-523164', '11-24-490-03926-523186', '11-24-490-03926-523165', '11-24-490-03926-523160']",4,"['1459.0', '1530.0', '1483.0', '1589.0']",0.0
11-24-490-03926-523167,[],0,,
11-24-490-03926-523168,"['11-24-490-03926-523161', '11-24-490-03926-523160', '11-24-490-03926-523170', '11-24-490-03926-523159', '11-24-490-03926-523162']",5,,
11-24-490-03926-523169,"['11-24-490-03926-523135', '11-24-490-03926-523134', '11-24-490-03926-523141', '11-24-490-03926-523138', '11-24-490-03926-523170', '11-24-490-03926-523139', '11-24-490-03926-523157']",7,,
11-24-490-03926-523170,"['11-24-490-03926-523135', '11-24-490-03926-523161', '11-24-490-03926-523160', '11-24-490-03926-523157', '11-24-490-03926-523134', '11-24-490-03926-523141', '11-24-490-03926-523138', '11-24-490-03926-523168', '11-24-490-03926-523139', '11-24-490-03926-523169', '11-24-490-03926-523159', '11-24-490-03926-523162']",12,"['6104.0', '562.0', '1589.0', '2015.0', '1881.0', '3033.0', '5494.0', '1606.0', '1329.0', '1397.0', '2911.0', '845.0']",4.0
11-24-490-03926-523171,"['11-24-490-03926-523156', '11-24-490-03926-523157', '11-24-490-03926-523173']",3,"['1226.0', '2015.0', '2566.0']",1.0
11-24-490-03926-523172,[],0,[nan],0.0
11-24-490-03926-523173,['11-24-490-03926-523171'],1,['3166.0'],1.0
11-24-490-03926-523175,"['11-24-490-03926-523152', '11-24-490-03926-523151']",2,,
11-24-490-03926-523176,"['11-24-490-03926-523150', '11-24-490-03926-523148']",2,,
11-24-490-03926-523177,[],0,[nan],0.0
11-24-490-03926-523179,[],0,,
11-24-490-03926-523183,['11-24-490-03926-523184'],1,,
11-24-490-03926-523184,"['11-24-490-03926-523226', '11-24-490-03926-523203', '11-24-490-03926-523183']",3,,
11-24-490-03926-523185,[],0,,
11-24-490-03926-523186,"['11-24-490-03926-523164', '11-24-490-03926-523166', '11-24-490-03926-523189', '11-24-490-03926-523187']",4,,
11-24-490-03926-523187,"['11-24-490-03926-523164', '11-24-490-03926-523186', '11-24-490-03926-523189']",3,,
11-24-490-03926-523189,"['11-24-490-03926-523164', '11-24-490-03926-523186', '11-24-490-03926-523187', '11-24-490-03926-523206']",4,,
11-24-490-03926-523193,"['11-24-490-03926-523204', '11-24-490-03926-523194']",2,,
11-24-490-03926-523194,"['11-24-490-03926-523203', '11-24-490-03926-523204', '11-24-490-03926-523193']",3,"['3082.0', '1169.0', '1028.0']",1.0
11-24-490-03926-523196,"['11-24-490-03926-523209', '11-24-490-03926-523203', '11-24-490-03926-523202', '11-24-490-03926-523197']",4,,
11-24-490-03926-523197,"['11-24-490-03926-523201', '11-24-490-03926-523196']",2,"['1768.0', '2558.0']",1.0
11-24-490-03926-523198,[],0,,
11-24-490-03926-523201,['11-24-490-03926-523197'],1,,
11-24-490-03926-523202,"['11-24-490-03926-523209', '11-24-490-03926-523196', '11-24-490-03926-523210']",3,,
11-24-490-03926-523203,"['11-24-490-03926-523226', '11-24-490-03926-523196', '11-24-490-03926-523184', '11-24-490-03926-523194']",4,"[nan, '2558.0', '2194.0', '1937.0']",1.0
11-24-490-03926-523204,"['11-24-490-03926-523194', '11-24-490-03926-523193']",2,"['1937.0', '1028.0']",0.0
11-24-490-03926-523206,['11-24-490-03926-523189'],1,,
11-24-490-03926-523209,"['11-24-490-03926-523202', '11-24-490-03926-523196']",2,,
11-24-490-03926-523210,['11-24-490-03926-523202'],1,['1988.0'],0.0
11-24-490-03926-523215,[],0,,
11-24-490-03926-523216,['11-24-490-03926-523223'],1,,
11-24-490-03926-523219,[],0,,
11-24-490-03926-523223,['11-24-490-03926-523216'],1,,
11-24-490-03926-523226,"['11-24-490-03926-523203', '11-24-490-03926-523184']",2,,
11-24-491-03927-523228,['11-24-491-03927-523229'],1,,
11-24-491-03927-523229,['11-24-491-03927-523228'],1,,
11-24-491-03927-523231,[],0,,
11-24-491-03927-523233,"['11-24-490-03924-523039', '11-24-490-03924-523040']",2,,
11-24-491-03927-523305,['11-24-491-03928-523351'],1,,
11-24-491-03927-523310,['11-24-491-03927-523312'],1,,
11-24-491-03927-523312,['11-24-491-03927-523310'],1,,
11-24-491-03928-523324,"['11-24-490-03925-523125', '11-24-490-03925-523127', '11-24-490-03925-523126']",3,"['3677.0', '1364.0', '1011.0']",1.0
11-24-491-03928-523327,"['11-24-491-03928-523328', '11-24-490-03925-523130']",2,"['2074.0', '3476.0']",1.0
11-24-491-03928-523328,['11-24-491-03928-523327'],1,,
11-24-491-03928-523330,[],0,[nan],0.0
11-24-491-03928-523331,['11-24-491-03928-523346'],1,,
11-24-491-03928-523332,[],0,[nan],0.0
11-24-491-03928-523333,[],0,[nan],0.0
11-24-491-03928-523335,[],0,,
11-24-491-03928-523336,"['11-24-491-03928-523337', '11-24-491-03928-523338']",2,"['618.0', '1611.0']",0.0
11-24-491-03928-523337,"['11-24-491-03928-523336', '11-24-491-03928-523338']",2,"['3119.0', '1611.0']",1.0
11-24-491-03928-523338,"['11-24-491-03928-523336', '11-24-491-03928-523337']",2,"['3119.0', '618.0']",1.0
11-24-491-03928-523341,"['11-24-491-03928-523343', '11-24-491-03928-523342']",2,,
11-24-491-03928-523342,"['11-24-491-03928-523343', '11-24-491-03928-523341']",2,"['4628.0', '1373.0']",1.0
11-24-491-03928-523343,"['11-24-491-03928-523341', '11-24-491-03928-523342']",2,,
